thickness,gray value,sample,min,max
10,17330.143,1,,
10,18754.278,1,,
20,19748.859,1,,
30,23198.648,1,,
30,22827.815,1,,
40,28118.442,1,,
40,30753.037,1,,
50,31456.009,1,,
50,31507.094,1,,
60,35483.521,1,,
60,34052.732,1,,
10,17456.456,2,,
10,15296.299,2,,
20,22489.033,2,,
20,22383.926,2,,
30,25482.373,2,,
30,22356.194,2,,
40,29551.818,2,,
40,28963.078,2,,
50,33211.943,2,,
50,32649.862,2,,
60,35033.083,2,,
60,34215.708,2,,
10,16182.195,3,12660,19633
10,15140.154,3,11807,18047
20,20852.802,3,18191,24009
30,24805.202,3,21551,28453
30,26474.985,3,20938,30057
40,29574.705,3,26539,32175
40,31024.655,3,27638,34413
50,30025.667,3,25743,32544
50,30729.111,3,27174,34706
60,34380.24,3,30976,37777
60,33196.751,3,26246,37893
